url,size_of_downloaded_page (in bytes),number_of_outlinks,content_type
https://www.latimes.com/espanol/eeuu/articulo/2022-12-27/ap-explica-que-pasara-si-acaban-limites-a-asilo-por-covid,224292,95,text/html
https://www.latimes.com/food/newsletter/2023-02-18/bar-cecil-palm-springs-best-restaurant-review-bill-addison-tasting-notes,270175,161,text/html
https://www.latimes.com/lifestyle/story/2022-07-28/los-angeles-friendships-ranked-will-they-pick-you-up-at-lax,317637,168,text/html
https://www.latimes.com/espanol/vida-y-estilo/articulo/2023-02-28/el-pulso-de-tu-salud-cuidemos-de-la-salud-y-el-bienestar-de-nuestros-cuidadores,212628,95,text/html
https://www.latimes.com/entertainment-arts/awards,398251,205,text/html
https://www.latimes.com/california/story/2023-01-15/storm-set-new-rain-records-timeline,254232,164,text/html
https://www.latimes.com/espanol/california/boletin-informativo/2023-01-12/tormentas-en-california-dejan-al-menos-16-muertos-kiosco-digital,203808,107,text/html
https://www.latimes.com/about/for-the-record/story/2023-03-06/la-a4-correx-20230219,207525,140,text/html
https://www.latimes.com/entertainment-arts/story/2023-03-06/aubrey-oday-miscarriage-pregnant-danity-kane,259090,164,text/html
https://www.latimes.com/entertainment-arts/story/2022-02-03/jeff-zucker-cnn-resignation-katie-couric-allison-gollust,264685,163,text/html
https://www.latimes.com/espanol/comida/articulo/2022-04-01/coachella-2022-food-sushi-bar,212013,105,text/html
https://www.latimes.com/food/story/2023-01-30/eszett-silver-lake-closing-the-ruby-fruit-lesbian-wine-bar,299064,165,text/html
https://www.latimes.com/environment,401577,209,text/html
https://www.latimes.com/food/story/2023-01-30/chicken-wings-boss-sauce-zef-bbq-simi-valley,347597,164,text/html
https://www.latimes.com/entertainment-arts/story/2019-10-01/justin-bieber-hailey-baldwin-second-wedding,262201,166,text/html
https://www.latimes.com/topic/column-one,352864,183,text/html
https://www.latimes.com/espanol/deportes/articulo/2023-03-06/davis-anota-39-puntos-en-victoria-de-lakers-sobre-warriors,235416,107,text/html
https://www.latimes.com/espanol/mexico/articulo/2023-03-06/mexico-muere-mujer-durante-ritual-de-voladores-en-puebla,197475,97,text/html
https://www.latimes.com/espanol/internacional/articulo/2023-03-04/perros-de-chernobil-ensenan-sus-recursos-para-sobrevivir,227833,100,text/html
https://www.latimes.com/california/story/2022-12-13/california-to-receive-500-million-from-opioid-settlement-with-walgreens,259468,158,text/html
https://www.latimes.com/entertainment-arts/story/2023-02-28/review-a-reimagined-secret-garden-fails-to-flower-anew-at-the-ahmanson-theatre,274587,170,text/html
https://www.latimes.com/california/story/2023-02-22/california-lawmakers-oil-profits-penalty,278899,168,text/html
https://www.latimes.com/politics/story/2023-03-07/desantis-to-argue-u-s-should-be-like-florida-ahead-of-2024-bid,269183,155,text/html
https://www.latimes.com/topic/mental-health,414566,213,text/html
https://membership.latimes.com/checkout?utm_source=email&utm_medium=EM&utm_campaign=LAGC21&offerId=77c84ce7-fefb-4804-b0ef-3342f3ff69b0,3888,11,text/html
https://www.latimes.com/about/pressreleases,346509,174,text/html
https://www.latimes.com/food/list/best-los-angeles-restaurants-2021,1048576,486,text/html
https://www.latimes.com/espanol/internacional/articulo/2023-03-04/hay-esperanza-para-un-rio-agonizante-en-kenia,275382,116,text/html
https://www.latimes.com/topic/education,352564,183,text/html
https://www.latimes.com/food.rss,315298,0,application/xml
https://www.latimes.com/entertainment-arts/books,382207,228,text/html
https://www.latimes.com/about/studios/p9f2bgoy20-123,228206,138,text/html
https://www.latimes.com/espanol/mexico/articulo/2023-03-04/grupos-armados-se-enfrentan-en-matamoros-noreste-de-mexico,202668,97,text/html
https://www.latimes.com/espanol/deportes/articulo/2023-03-06/croacia-luka-modric-disputara-eliminatorias-para-euro-2024,223663,102,text/html
https://www.latimes.com/espanol/california/articulo/2023-03-01/california-sigue-registrando-una-media-de-mas-de-20-muertes-diarias-por-covid-19,217606,100,text/html
https://www.latimes.com/espanol/california/boletin-informativo/2023-01-05/fuertes-lluvias-azotan-california-kiosco-digital,198514,106,text/html
https://www.latimes.com/espanol/deportes/articulo/2023-03-06/fuente-ap-raiders-etiqueta-como-jugador-franquicia-a-jacobs,241073,108,text/html
https://www.latimes.com/people/taryn-luna,232961,149,text/html
https://www.latimes.com/food/story/2023-02-15/inside-super-nintendo-world-guide-every-dish-at-toadstool-cafe,369412,161,text/html
https://www.latimes.com/lifestyle/story/2022-08-01/how-to-make-friends-in-los-angeles,481960,208,text/html
https://www.latimes.com/espanol/comida/articulo/2023-01-03/jose-andres-recorre-la-gastronomia-de-espana-con-su-familia,229575,101,text/html
https://www.latimes.com/espanol/california/articulo/2022-12-28/mal-tiempo-tecnologia-anticuada-y-horarios-de-vuelo-vulnerables-contribuyeron-al-descalabro-de-southwest-airlines,236439,106,text/html
https://www.latimes.com/california/story/2023-03-05/early-morning-fire-in-west-covina-kills-three,242678,155,text/html
https://www.latimes.com/bestcovery/best-weighted-blankets,166008,74,text/html
https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/assets/meta/apple-touch-icon.e83440be.png,3301,0,image/png
https://www.latimes.com/about/for-the-record/story/2023-02-19/la-a4-correx-20230219,208640,140,text/html
https://www.latimes.com/food/story/2023-03-03/the-crawl-almost-vegan-food-crawl-emily-the-criminal-theo-rossi,327518,160,text/html
https://www.latimes.com/entertainment-arts/music/story/2022-06-10/justin-bieber-ramsay-hunt-syndrome-tour-postponed,283204,164,text/html
https://www.latimes.com/california/story/2023-03-02/sikh-motorcycle-club-usa-a-cross-county-mile-motorcycle-ride-against-hate,347792,166,text/html
https://www.latimes.com/about/studios/6igvnjpv5ts-123,195109,129,text/html
https://www.latimes.com/espanol/internacional/articulo/2023-03-02/por-que-es-tan-dificil-comprar-hortalizas-en-reino-unido,238740,102,text/html
https://www.latimes.com/entertainment-arts/tv/story/2023-03-07/debra-lee-book-i-am-debra-lee-memoir-bet-bob-johnson,291403,170,text/html
https://www.latimes.com/entertainment-arts/books/story/2021-10-26/review-katie-couric-is-done-pleasing-people-as-her-new-memoir-proves,301858,183,text/html
https://www.latimes.com/opinion/story/2023-03-06/editorial-medication-abortion-fda,269854,162,text/html
https://www.latimes.com/california/story/2022-07-17/9-in-10-californians-live-in-areas-with-high-covid-19-levels,291636,174,text/html
https://www.latimes.com/topic/cannabis,528030,262,text/html
https://www.latimes.com/espanol/eeuu/articulo/2023-03-07/ministro-chino-critica-a-eeuu-en-1ra-conferencia-de-prensa,215549,98,text/html
https://www.latimes.com/california/story/2023-03-07/yosemite-to-remain-closed-through-at-least-this-weekend-after-historic-snowfall,260492,165,text/html
https://www.latimes.com/espanol/vida-y-estilo/articulo/2023-03-02/la-mochila-emocional-de-jackeline-cacho-y-sus-propositos-en-la-vida,255503,91,text/html
https://www.latimes.com/espanol/mexico/articulo/2023-02-25/informe-12-de-mexicanos-sufren-insuficiencia-nutricional,224975,105,text/html
https://www.latimes.com/about/for-the-record/story/2023-03-07/la-a4-correx-20230307,207457,140,text/html
https://www.latimes.com/food/newsletter/2023-03-04/theme-restaurants-and-l-a-s-tiki-bar-era-tasting-notes,289097,178,text/html
https://www.latimes.com/espanol/california/boletin-informativo/2023-02-23/kiosco-digital-impacta-a-la-comunidad-catolica-el-asesinato-del-obispo-david-oconnell-kiosco-digital,207925,108,text/html
https://www.latimes.com/sports/story/2022-12-21/immaculate-reception-anniversay-50-years-franco-harris-steelers-raiders,337304,160,text/html
https://www.latimes.com/privacy-policy,292085,136,text/html
https://www.latimes.com/newsroom-directory,304239,642,text/html
https://www.latimes.com/food/story/2023-02-23/why-los-angeles-is-the-best-coffee-city-in-the-world,336668,175,text/html
https://www.latimes.com/california/story/2023-02-14/california-mountain-lion-cubs-oakland-zoo,261239,158,text/html
https://www.latimes.com/food/story/2023-01-20/konbi-egg-salad-sandwich-culver-city-echo-park,264679,161,text/html
https://www.latimes.com/espanol/deportes/articulo/2022-12-28/bueno-o-malo-expertos-opinan-sobre-el-uso-del-var-durante-el-mundial-de-qatar-2022,216639,85,text/html
https://www.latimes.com/lifestyle/list/where-to-go-out-with-friends-los-angeles,424231,207,text/html
https://www.latimes.com/espanol/california/articulo/2022-04-12/capirotada-dessert-lent-gustavo-arellano,230547,117,text/html
https://www.latimes.com/entertainment/la-xpm-2012-nov-16-la-et-mg-justin-bieber-selena-gomez-20121116-story.html,250822,173,text/html
https://www.latimes.com/entertainment-arts/tv/story/2023-03-04/chris-rock-netflix-special-selective-outrage,306024,179,text/html
https://www.latimes.com/b2bpublishing/cre,735402,356,text/html
https://www.latimes.com/about/studios/jxjyonwg2jg-123,195072,129,text/html
https://www.latimes.com/people/lisa-boone,230384,151,text/html
https://www.latimes.com/people/steve-saldivar,224970,150,text/html
https://www.latimes.com/california/story/2022-07-25/uc-and-csu-campuses-to-provide-abortion-pills-in-california,281784,169,text/html
https://www.latimes.com/entertainment-arts/tv/story/2023-03-06/hoda-kotb-today-show-daughter-sick-hospitalized-hope,283028,165,text/html
https://www.latimes.com/espanol/eeuu/articulo/2023-03-03/ohio-se-esparcieron-dioxinas-tras-descarrilarse-un-tren,219511,95,text/html
https://www.latimes.com/science/la-xpm-2013-jan-11-la-sci-sn-asteroid-apophis-doomsday-earth-impact-nasa-20130111-story.html,250006,162,text/html
https://www.latimes.com/bestcovery/best-hdtv-overall,127045,60,text/html
https://www.latimes.com/espanol/internacional/articulo/2023-03-02/espana-demandan-a-enfermera-por-falsificar-vacunas,217509,101,text/html
https://www.latimes.com/about/for-the-record/story/2023-02-20/la-a4-correx-20230219,207559,140,text/html
https://www.latimes.com/people/dylan-hernandez,229040,153,text/html
